Product,Price
Babador Impermeável Branco - SSPlus,"R$16,99"
Agulha Gengival - AllPrime,"R$33,99"
anestésico tópico,Not found
Anestésico Articaine 4% 1:100.000 - DFL,"R$239,99"
Ponta Diamantada Esférica FG - Microdont,"R$8,19"
Ponta Diamantada Cônica Extremidade Inativa FG - KG Sorensen,"R$20,90"
Rolo Dental - Cremer,"R$9,90"
Compressa de Gaze 9 Fios Não Estéril - Ultracotton,"R$22,99"
Lençol de Borracha - Madeitex,"R$32,99"
Manequim Top Dentística PD100 - Pronew,"R$498,99"
paramonoclorofenol,Not found
clorexidina gel 2%,Not found
hipoclorito 2.5%,Not found
agulha irrigação MK LIFE,Not found
seringa descartável,Not found
kit de limas K manuais,Not found
kit limas 8 ou 10 (apenas um uso),Not found
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"R$64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"R$64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"R$64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"R$64,90"
Sistema de Isolamento DS1 DS Lite - Dryshield,"R$1.076,99"
solução EDTA,Not found
Eucaliptol (retratamento),Not found
Ponta de Papel Absorvente Cellpack - AllPrime,"R$37,90"
Kit Hidróxido de Cálcio Ultracal XS - Ultradent,"R$107,99"
cimento obturador (SEALER PLUS),Not found
Guta Percha Acessória Maillefer - Dentsply Sirona,"R$42,90"
Guta Percha Acessória Maillefer - Dentsply Sirona,"R$42,90"
envelope de esterilização (grande),Not found
envelope de esterelizaçao (pequeno),Not found
selador provisório (Villevie),Not found
Ionômero de Vidro Restaurador Maxxion R - FGM,"R$63,99"
