Product,Price
Babador Impermeável Branco - SSPlus,"16,99"
Agulha Gengival - AllPrime,"33,99"
anestésico tópico,Not found
Anestésico Articaine 4% 1:100.000 - DFL,"239,99"
Ponta Diamantada Esférica FG - Microdont,"8,19"
Ponta Diamantada Cônica Extremidade Inativa FG - KG Sorensen,"20,90"
Rolo Dental - Cremer,"9,90"
Compressa de Gaze 9 Fios Não Estéril - Ultracotton,"22,99"
Lençol de Borracha - Madeitex,"32,99"
Manequim Top Dentística PD100 - Pronew,"498,99"
paramonoclorofenol,Not found
clorexidina gel 2%,Not found
hipoclorito 2.5%,Not found
agulha irrigação MK LIFE,Not found
seringa descartável,Not found
kit de limas K manuais,Not found
kit limas 8 ou 10 (apenas um uso),Not found
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,"64,90"
Sistema de Isolamento DS1 DS Lite - Dryshield,"1.076,99"
solução EDTA,Not found
Eucaliptol (retratamento),Not found
cones de papel (esterilizado - 5un),Not found
medicação intracanal (ULTRACAL),Not found
cimento obturador (SEALER PLUS),Not found
cones de guta percha (TAPPER 04 ou 06),Not found
cones de guta percha (CONE M e FM),Not found
envelope de esterilização (grande),Not found
envelope de esterelizaçao (pequeno),Not found
selador provisório (Villevie),Not found
ionômero de vidro,Not found
