Product,Price
Babador Impermeável Branco - SSPlus,"R$19,90"
Agulha Gengival - AllPrime,"R$49,90"
Anestésico Tópico Benzotop 20% Tutti-Frutti 30G - DFL,"R$19,98"
Anestésico Articaine 4% 1:100.000 - DFL,"R$256,15"
Ponta Diamantada Esférica FG - Microdont,
Ponta Diamantada Cônica Extremidade Inativa FG - KG Sorensen,
Rolo Dental - Cremer,
Compressa de Gaze 9 Fios Não Estéril - Ultracotton,"R$25,90"
Lençol de Borracha - Madeitex,"R$35,90"
Manequim Top Dentística PD100 - Pronew,"R$503,90"
Paramonoclorofenol Canforado - Biodinâmica,"R$16,90"
Clorhexidina Gel 2% - Maquira,"R$22,90"
"Hipoclorito de Sódio 2,5% Soda Clorada - Asfer","R$9,79"
Agulha para Irrigação Saída Lateral - MK Life,"R$16,90"
Seringa Descartável Luer Lock 5ml Sem Agulha – BD,"R$0,79"
Kit Lima Reciprocante Wave One Gold Sequence Maillefer - Dentsply Sirona,"R$190,90"
Kit Lima Reciprocante Wave One Gold Sequence Maillefer - Dentsply Sirona,"R$190,90"
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Guta Percha Para Sistema Rotatório Pro 04 - Tanari,
Sistema de Isolamento DS1 DS Lite - Dryshield,"R$2.152,90"
Gel EDTA - Fórmula & Ação,"R$23,90"
Eucaliptol - Biodinâmica,"R$18,90"
Ponta de Papel Absorvente Cellpack - AllPrime,
Kit Hidróxido de Cálcio Ultracal XS - Ultradent,"R$117,90"
Cimento Endodôntico Obturador Sealer 26 - Dentsply Sirona,"R$148,90"
Guta Percha Acessória Maillefer - Dentsply Sirona,
Guta Percha Acessória Maillefer - Dentsply Sirona,
Envelope para Esterilização Autosselante 90x260mm - AllPrime,"R$27,90"
Envelope para Esterilização Autosselante 90x260mm - AllPrime,"R$27,90"
Restaurador Provisório - Villevie,"R$20,90"
Ionômero de Vidro Restaurador Maxxion R - FGM,"R$90,99"
